week,new_players,forecast_new_players
2023-09-17,60.0,
2023-09-24,63.0,
2023-10-01,74.0,
2023-10-08,74.0,
2023-10-15,60.0,
2023-10-22,61.0,
2023-10-29,57.0,
2023-11-05,60.0,
2023-11-12,74.0,
2023-11-19,65.0,
2023-11-26,66.0,
2023-12-03,68.0,
2023-12-10,57.0,
2023-12-17,60.0,
2023-12-24,80.0,
2023-12-31,65.0,
2024-01-07,69.0,
2024-01-14,55.0,
2024-01-21,60.0,
2024-01-28,66.0,
2024-02-04,65.0,
2024-02-11,72.0,
2024-02-18,68.0,
2024-02-25,64.0,
2024-03-03,48.0,
2024-03-10,66.0,
2024-03-17,60.0,
2024-03-24,70.0,
2024-03-31,55.0,
2024-04-07,84.0,
2024-04-14,60.0,
2024-04-21,58.0,
2024-04-28,61.0,
2024-05-05,71.0,
2024-05-12,62.0,
2024-05-19,63.0,
2024-05-26,63.0,
2024-06-02,60.0,
2024-06-09,67.0,
2024-06-16,63.0,
2024-06-23,73.0,
2024-06-30,76.0,
2024-07-07,50.0,
2024-07-14,66.0,
2024-07-21,63.0,
2024-07-28,64.0,
2024-08-04,58.0,
2024-08-11,60.0,
2024-08-18,69.0,
2024-08-25,64.0,
2024-09-01,72.0,
2024-09-08,72.0,
2024-09-15,74.0,
2024-09-22,59.0,
2024-09-29,88.0,
2024-10-06,62.0,
2024-10-13,73.0,
2024-10-20,64.0,
2024-10-27,73.0,
2024-11-03,60.0,
2024-11-10,67.0,
2024-11-17,75.0,
2024-11-24,65.0,
2024-12-01,65.0,
2024-12-08,63.0,
2024-12-15,58.0,
2024-12-22,63.0,
2024-12-29,56.0,
2025-01-05,56.0,
2025-01-12,63.0,
2025-01-19,58.0,
2025-01-26,65.0,
2025-02-02,58.0,
2025-02-09,61.0,
2025-02-16,72.0,
2025-02-23,68.0,
2025-03-02,70.0,
2025-03-09,61.0,
2025-03-16,68.0,
2025-03-23,62.0,
2025-03-30,59.0,
2025-04-06,64.0,
2025-04-13,59.0,
2025-04-20,50.0,
2025-04-27,75.0,
2025-05-04,63.0,
2025-05-11,74.0,
2025-05-18,63.0,
2025-05-25,47.0,
2025-06-01,83.0,
2025-06-08,58.0,
2025-06-15,100.0,
2025-06-22,59.0,
2025-06-29,63.0,
2025-07-06,69.0,
2025-07-13,59.0,
2025-07-20,59.0,
2025-07-27,60.0,
2025-08-03,57.0,
2025-08-10,74.0,
2025-08-17,67.0,
2025-08-24,69.0,
2025-08-31,59.0,
2025-09-07,64.0,
2025-09-14,39.0,
2025-09-21,48.0,
2025-09-28,62.0,
2025-10-05,71.0,
2025-10-12,60.0,
2025-10-19,61.0,
2025-10-26,67.0,
2025-11-02,55.0,
2025-11-09,73.0,
2025-11-16,82.0,
2025-11-23,63.0,
2025-11-30,70.0,
2025-12-07,65.0,
2025-12-14,71.0,
2025-12-21,65.0,
2025-12-28,61.0,
2026-01-04,80.0,
2026-01-11,57.0,
2026-01-18,72.0,
2026-01-25,58.0,
2026-02-01,72.0,
2026-02-08,63.0,
2026-02-15,72.0,
2026-02-22,70.0,
2026-03-01,79.0,
2026-03-08,65.0,
2026-03-15,73.0,
2026-03-22,52.0,
2026-03-29,51.0,
2026-04-05,69.0,
2026-04-12,82.0,
2026-04-19,65.0,
2026-04-26,45.0,
2026-05-03,67.0,
2026-05-10,58.0,
2026-05-17,58.0,
2026-05-24,55.0,
2026-05-31,68.0,
2026-06-07,71.0,
2026-06-14,52.0,
2026-06-21,58.0,
2026-06-28,58.0,
2026-07-05,60.0,
2026-07-12,68.0,
2026-07-19,77.0,
2026-07-26,67.0,
2026-08-02,68.0,
2026-08-09,73.0,
2026-08-16,56.0,
2026-08-23,76.0,
2026-08-30,30.0,
2026-09-06,,63.83493352577521
2026-09-13,,63.82620023337579
2026-09-20,,63.817466940976374
2026-09-27,,63.80873364857696
2026-10-04,,63.80000035617754
2026-10-11,,63.79126706377812
2026-10-18,,63.7825337713787
2026-10-25,,63.77380047897928
