player_id,first_seen,last_seen,total_sessions,total_playtime_hours,avg_session_duration_minutes,total_revenue_usd,total_events,age,gender,location,game_genre,game_difficulty,play_time_hours_per_week,in_game_purchases,sessions_per_week,player_level,achievements_unlocked,engagement_level,days_since_last_seen,account_age_days,purchase_flag,revenue_per_session,events_per_session,at_risk,anomaly_prediction,anomaly_score,is_anomaly
P0000001,2024-07-21,2026-09-06,2023,3062.48,90.83,403.11,60838,31,Female,North America,Puzzle,Medium,25.74,75,17,89,73,High,4,777,1,0.1992634700939199,30.0731586752348,0,1,0.04259804242412979,0
P0000002,2026-02-21,2026-08-05,320,320.8,60.15,42.55,4833,19,Male,Asia,Action,Hard,14.04,14,14,62,19,Medium,36,165,1,0.13296875,15.103125,1,1,0.16060133758373102,0
P0000003,2025-04-13,2026-07-25,1029,1053.01,61.4,150.19,17562,35,Female,Europe,Puzzle,Hard,14.33,30,14,84,39,Medium,47,468,1,0.1459572400388727,17.067055393586006,1,1,0.18896258228255802,0
P0000004,2025-10-18,2026-09-10,302,308.24,61.24,39.71,7904,36,Male,Middle East,Puzzle,Hard,6.12,4,6,63,48,Low,0,327,1,0.1314900662251655,26.17218543046357,0,1,0.17073900468403463,0
P0000005,2025-06-18,2026-09-10,550,617.38,67.35,162.19,11632,13,Male,Oceania,RPG,Medium,11.22,17,10,73,65,Medium,0,449,1,0.2948909090909091,21.14909090909091,0,1,0.17730646983822002,0
P0000006,2024-02-16,2026-08-20,1354,1815.94,80.47,302.18,27168,16,Male,Asia,Strategy,Medium,13.41,34,10,83,54,Medium,21,916,1,0.2231757754800591,20.064992614475628,1,1,0.1690170465366157,0
P0000007,2024-03-11,2026-09-01,1018,1281.83,75.55,27.41,15325,29,Male,South America,Action,Hard,11.33,22,9,78,33,Medium,9,904,1,0.0269253438113948,15.054027504911591,0,1,0.1922065720842494,0
P0000008,2025-01-02,2026-09-10,1509,2671.94,106.24,848.09,21267,25,Male,North America,Action,Medium,28.33,75,16,89,66,High,0,616,1,0.5620212060967529,14.093439363817096,0,1,0.088836599301504,0
P0000009,2026-04-23,2026-09-10,253,348.13,82.56,33.73,6851,28,Male,North America,RPG,Easy,16.51,4,12,59,16,Medium,0,140,1,0.1333201581027668,27.07905138339921,0,1,0.15070442583873678,0
P0000010,2025-08-07,2026-09-10,1204,2062.45,102.78,583.32,27801,20,Male,Asia,Adventure,Easy,30.83,46,18,80,63,High,0,399,1,0.484485049833887,23.090531561461795,0,1,0.09948369893220282,0
P0000011,2024-07-06,2026-09-03,1187,1739.75,87.94,408.36,14336,36,Male,Asia,Puzzle,Medium,17.59,37,12,78,55,Medium,7,789,1,0.3440269587194608,12.077506318449874,0,1,0.1663743691520373,0
P0000012,2024-11-18,2026-09-03,1274,2330.15,109.74,84.53,34496,35,Female,North America,Action,Medium,25.61,35,14,88,63,High,7,654,1,0.0663500784929356,27.07692307692308,0,1,0.11501482339868824,0
P0000013,2024-12-31,2026-09-07,1332,2606.72,117.42,107.9,22726,29,Male,North America,RPG,Hard,35.23,50,18,88,32,High,3,615,1,0.081006006006006,17.06156156156156,0,1,0.10380598465503127,0
P0000014,2025-07-02,2026-09-06,913,1532.32,100.7,71.75,24733,38,Male,Asia,RPG,Hard,26.85,22,16,83,60,High,4,431,1,0.0785870755750273,27.089813800657176,0,1,0.14629226762085257,0
P0000015,2023-10-14,2026-09-08,326,158.38,29.15,0.0,8820,32,Male,North America,RPG,Easy,0.97,0,2,57,18,Low,2,1060,0,0.0,27.05521472392638,0,1,0.11072538459467901,0
P0000016,2023-12-15,2026-07-24,1904,3189.2,100.5,402.22,13468,20,Non-binary,Europe,RPG,Easy,26.8,79,16,92,61,High,48,952,1,0.21125,7.073529411764706,1,1,0.125103295912026,0
P0000017,2024-09-29,2026-09-05,1487,1726.9,69.68,758.6,32783,31,Female,Asia,Puzzle,Medium,15.1,32,13,81,37,High,5,706,1,0.5101546738399462,22.04640215198386,0,1,0.11471488594694917,0
