player_id,game_genre,engagement_level,total_playtime_hours,total_revenue_usd,revenue_rank,genre_revenue_rank
P0002970,Simulation,High,4604.55,5669.8,1,1
P0004131,RPG,High,3325.68,4444.92,2,1
P0007721,Adventure,High,4756.85,4029.24,3,1
P0004494,Strategy,High,3205.48,3597.93,4,1
P0000214,Puzzle,High,4888.61,3285.95,5,1
P0000024,Action,High,3898.2,2802.46,6,1
P0002415,RPG,High,3269.98,2701.02,7,2
P0004037,RPG,High,5296.12,2672.94,8,3
P0003702,Action,High,5733.28,2650.63,9,2
P0002149,RPG,High,5361.04,2546.81,10,4
P0009483,Strategy,High,3245.53,2483.9,11,2
P0008454,RPG,High,2937.75,2471.47,12,5
P0003495,Adventure,High,2427.64,2450.31,13,2
P0004217,Strategy,High,4808.02,2389.3,14,3
P0008886,RPG,High,4437.92,2375.88,15,6
P0003635,Simulation,High,1782.37,2311.72,16,2
P0002027,RPG,High,2740.19,2304.88,17,7
P0006643,RPG,High,6217.89,2265.44,18,8
P0006737,RPG,High,3968.88,2148.27,19,9
P0004766,Strategy,High,3482.2,2138.96,20,4
P0003005,Puzzle,High,5186.81,2101.4,21,2
P0002613,Strategy,High,4975.68,2085.98,22,5
P0001910,Sports,High,4013.07,2070.68,23,1
P0007587,Adventure,High,6148.05,2053.38,24,3
P0002781,Action,High,4614.47,2052.06,25,3
P0009179,Action,High,2952.09,2022.5,26,4
P0009219,Adventure,High,3328.82,1983.86,27,4
P0009921,Action,High,4013.09,1969.44,28,5
P0008404,Adventure,High,5102.6,1941.62,29,5
P0009261,Simulation,High,2384.31,1916.58,30,3
P0006775,Simulation,High,7511.95,1904.96,31,4
P0007832,Adventure,High,6094.1,1880.01,32,6
P0001197,Strategy,High,3073.43,1851.37,33,6
P0000695,RPG,High,4436.99,1834.88,34,10
P0005541,Action,High,4741.75,1813.54,35,6
P0008909,Simulation,High,3685.97,1797.12,36,5
P0004760,Strategy,High,5221.59,1793.82,37,7
P0009478,Sports,High,5210.5,1787.85,38,2
P0009657,Sports,Medium,1434.01,1776.9,39,3
P0008545,Puzzle,High,5233.4,1765.27,40,3
P0002578,RPG,High,3715.79,1761.97,41,11
P0007460,Adventure,High,4814.15,1760.48,42,7
P0008542,Puzzle,High,5056.03,1760.29,43,4
P0009447,Puzzle,Medium,2853.52,1745.2,44,5
P0003943,RPG,Medium,2019.36,1712.49,45,12
P0001945,Action,High,4114.08,1711.64,46,7
P0005019,Sports,High,4637.49,1709.79,47,4
P0002721,Simulation,Medium,528.32,1694.74,48,6
P0009091,RPG,High,4899.66,1689.83,49,13
P0000207,RPG,High,2039.54,1687.61,50,14
