player_id,first_seen,last_seen,total_sessions,total_playtime_hours,avg_session_duration_minutes,total_revenue_usd,total_events,age,gender,location,game_genre,game_difficulty,play_time_hours_per_week,in_game_purchases,sessions_per_week,player_level,achievements_unlocked,engagement_level
P0000001,2024-07-21,2026-09-06,2023,3062.48,90.83,403.11,60838,31,Female,North America,Puzzle,Medium,25.74,75,17,89,73,High
P0000002,2026-02-21,2026-08-05,320,320.8,60.15,42.55,4833,19,Male,Asia,Action,Hard,14.04,14,14,62,19,Medium
P0000003,2025-04-13,2026-07-25,1029,1053.01,61.4,150.19,17562,35,Female,Europe,Puzzle,Hard,14.33,30,14,84,39,Medium
P0000004,2025-10-18,2026-09-10,302,308.24,61.24,39.71,7904,36,Male,Middle East,Puzzle,Hard,6.12,4,6,63,48,Low
P0000005,2025-06-18,2026-09-10,550,617.38,67.35,162.19,11632,13,Male,Oceania,RPG,Medium,11.22,17,10,73,65,Medium
P0000006,2024-02-16,2026-08-20,1354,1815.94,80.47,302.18,27168,16,Male,Asia,Strategy,Medium,13.41,34,10,83,54,Medium
P0000007,2024-03-11,2026-09-01,1018,1281.83,75.55,27.41,15325,29,Male,South America,Action,Hard,11.33,22,9,78,33,Medium
P0000008,2025-01-02,2026-09-10,1509,2671.94,106.24,848.09,21267,25,Male,North America,Action,Medium,28.33,75,16,89,66,High
P0000009,2026-04-23,2026-09-10,253,348.13,82.56,33.73,6851,28,Male,North America,RPG,Easy,16.51,4,12,59,16,Medium
P0000010,2025-08-07,2026-09-10,1204,2062.45,102.78,583.32,27801,20,Male,Asia,Adventure,Easy,30.83,46,18,80,63,High
P0000011,2024-07-06,2026-09-03,1187,1739.75,87.94,408.36,14336,36,Male,Asia,Puzzle,Medium,17.59,37,12,78,55,Medium
P0000012,2024-11-18,2026-09-03,1274,2330.15,109.74,84.53,34496,35,Female,North America,Action,Medium,25.61,35,14,88,63,High
P0000013,2024-12-31,2026-09-07,1332,2606.72,117.42,107.9,22726,29,Male,North America,RPG,Hard,35.23,50,18,88,32,High
P0000014,2025-07-02,2026-09-06,913,1532.32,100.7,71.75,24733,38,Male,Asia,RPG,Hard,26.85,22,16,83,60,High
P0000015,2023-10-14,2026-09-08,326,158.38,29.15,0.0,8820,32,Male,North America,RPG,Easy,0.97,0,2,57,18,Low
P0000016,2023-12-15,2026-07-24,1904,3189.2,100.5,402.22,13468,20,Non-binary,Europe,RPG,Easy,26.8,79,16,92,61,High
P0000017,2024-09-29,2026-09-05,1487,1726.9,69.68,758.6,32783,31,Female,Asia,Puzzle,Medium,15.1,32,13,81,37,High
P0000018,2024-01-25,2026-08-23,2234,2954.46,79.35,181.06,53715,19,Prefer not to say,Africa,RPG,Medium,22.48,77,17,88,22,High
P0000019,2026-02-15,2026-09-03,461,704.95,91.75,119.75,5118,36,Female,Europe,Action,Hard,26.0,26,17,75,21,High
P0000020,2026-03-07,2026-09-10,451,533.16,70.93,91.76,5022,28,Male,North America,Sports,Hard,17.73,13,15,66,48,High
P0000021,2024-07-16,2026-09-04,126,10.5,5.0,0.0,2026,26,Female,North America,Action,Easy,0.08,0,1,30,10,Low
P0000022,2024-08-25,2026-09-04,1064,1567.8,88.41,238.76,25628,22,Male,North America,Puzzle,Hard,17.68,48,12,88,44,High
P0000023,2025-12-06,2026-09-06,376,332.57,53.07,44.0,6441,39,Female,Asia,Puzzle,Medium,7.08,5,8,66,44,Low
P0000024,2024-03-04,2026-09-03,2180,3898.2,107.29,2802.46,13207,27,Male,Europe,Action,Hard,26.82,90,15,99,37,High
P0000025,2024-06-10,2026-08-22,1855,3072.81,99.39,368.86,35381,24,Male,North America,RPG,Hard,28.16,81,17,89,55,High
P0000026,2026-01-11,2026-07-18,332,602.64,108.91,130.55,6040,25,Female,Africa,Adventure,Medium,27.23,10,15,77,54,High
P0000027,2024-11-05,2026-08-23,1080,1678.68,93.26,182.09,16271,33,Female,South America,RPG,Hard,20.21,37,13,79,34,Medium
P0000028,2024-01-28,2026-09-02,1044,1076.02,61.84,52.2,7351,31,Non-binary,North America,RPG,Medium,9.28,20,9,79,23,Medium
P0000029,2024-05-17,2026-09-03,294,165.72,33.82,41.11,4754,32,Male,Europe,Puzzle,Hard,1.69,4,3,60,46,Low
P0000030,2025-05-31,2026-09-02,807,820.72,61.02,200.09,13774,32,Male,South America,Strategy,Hard,13.22,19,13,80,36,Medium
P0000031,2024-03-25,2026-09-06,1213,1862.97,92.15,352.93,7372,47,Male,Asia,RPG,Hard,16.89,37,11,86,57,Medium
P0000032,2025-09-29,2026-08-22,809,1103.34,81.83,728.87,6524,24,Male,Africa,Action,Easy,23.19,29,17,86,23,High
P0000033,2023-10-08,2026-09-10,1647,1681.04,61.24,93.23,16563,23,Male,North America,Strategy,Hard,10.21,44,10,87,49,Medium
P0000034,2023-09-28,2026-09-05,423,277.28,39.33,36.96,3014,21,Male,Asia,Adventure,Easy,1.97,4,3,63,49,Low
P0000035,2025-10-05,2026-08-28,165,156.83,57.03,3.07,3661,34,Female,North America,Simulation,Hard,3.8,1,4,57,30,Low
P0000036,2024-08-13,2026-09-07,994,1384.97,83.6,81.98,17965,38,Male,Europe,Sports,Hard,12.54,12,9,78,61,Medium
P0000037,2023-10-21,2026-09-10,3047,4280.53,84.29,483.03,88521,27,Female,Asia,Action,Easy,23.88,113,17,92,45,High
P0000038,2025-10-17,2026-09-04,251,197.08,47.11,23.21,7552,20,Female,Asia,Adventure,Medium,3.93,3,5,58,19,Low
P0000039,2024-07-14,2026-08-23,863,1456.17,101.24,174.54,25119,21,Female,North America,Strategy,Medium,13.5,27,8,82,65,Medium
P0000040,2025-01-31,2026-08-26,805,1456.51,108.56,209.7,7321,34,Male,North America,RPG,Hard,19.9,29,11,80,47,Medium
P0000041,2025-05-05,2026-09-07,742,957.67,77.44,71.0,22306,35,Male,Asia,Strategy,Easy,14.2,25,11,70,21,Medium
P0000042,2024-09-30,2026-09-09,1107,2070.46,112.22,316.87,31072,33,Male,North America,RPG,Hard,24.31,35,13,91,41,High
P0000043,2025-03-29,2026-08-10,887,1093.67,73.98,56.92,10709,22,Female,Europe,RPG,Hard,14.8,22,12,67,43,Medium
P0000044,2024-07-18,2026-09-06,1405,1579.22,67.44,427.71,21176,30,Male,North America,Strategy,Medium,15.74,46,14,78,55,High
P0000045,2023-10-24,2026-09-08,1552,2098.56,81.13,272.57,24954,29,Male,North America,RPG,Medium,16.23,54,12,92,68,Medium
P0000046,2026-01-13,2026-08-27,431,517.06,71.98,132.2,10416,30,Prefer not to say,South America,RPG,Medium,14.4,16,12,66,56,Medium
P0000047,2026-02-18,2026-09-02,351,456.42,78.02,20.52,4596,36,Female,North America,Simulation,Easy,16.9,8,13,73,25,Medium
P0000048,2024-10-29,2026-08-26,1689,2514.08,89.31,668.13,33882,30,Female,Asia,RPG,Hard,23.82,57,16,88,45,High
P0000049,2023-10-22,2026-09-09,2309,3797.54,98.68,365.4,34807,34,Male,Asia,Adventure,Easy,27.96,93,17,94,79,High
P0000050,2024-02-23,2026-08-24,2247,2755.2,73.57,356.03,27075,29,Non-binary,North America,Action,Medium,20.84,80,17,86,31,Medium
P0000051,2025-06-15,2026-09-06,527,366.44,41.72,43.66,4286,31,Male,Asia,Action,Easy,6.95,13,10,65,57,Medium
P0000052,2024-04-10,2026-09-10,1285,1078.33,50.35,98.98,27025,34,Male,Europe,Action,Medium,8.39,18,10,81,22,Medium
P0000053,2023-12-15,2026-09-03,2374,3166.12,80.02,738.53,47581,15,Female,South America,Action,Medium,21.34,62,16,90,39,High
P0000054,2025-10-13,2026-09-09,663,851.18,77.03,155.56,17313,25,Female,South America,RPG,Medium,15.41,19,12,73,56,Medium
P0000055,2026-05-06,2026-09-01,242,228.08,56.55,20.01,6558,24,Female,South America,Action,Easy,11.31,5,12,61,19,Medium
P0000056,2023-10-13,2026-09-02,731,681.29,55.92,169.88,21980,22,Male,Europe,Action,Medium,4.66,18,5,71,32,Low
P0000057,2026-03-09,2026-08-21,330,579.32,105.33,96.34,7986,26,Male,South America,Strategy,Medium,29.84,13,17,65,53,High
P0000058,2026-08-14,2026-08-14,4,2.25,33.69,0.0,67,41,Female,Asia,RPG,Medium,2.25,0,4,14,15,Low
P0000059,2025-09-16,2026-09-03,329,249.55,45.51,4.29,2020,20,Female,Europe,Simulation,Easy,4.55,2,6,65,44,Low
P0000060,2024-05-07,2026-09-09,641,487.16,45.6,154.94,16068,37,Male,North America,RPG,Medium,4.56,15,6,69,28,Low
P0000061,2024-06-11,2026-09-04,1257,1441.57,68.81,99.91,12651,13,Male,North America,Puzzle,Medium,13.76,30,12,80,51,Medium
P0000062,2025-09-18,2026-09-06,679,1222.43,108.02,133.49,6859,25,Female,Europe,Action,Hard,21.6,30,12,81,39,Medium
P0000063,2024-08-15,2026-09-04,317,173.08,32.76,0.0,9212,29,Female,Europe,RPG,Medium,1.64,0,3,53,19,Low
P0000064,2023-11-13,2026-09-08,1769,1862.46,63.17,1148.05,49619,33,Male,Africa,Strategy,Easy,13.69,60,13,74,27,Medium
P0000065,2026-08-20,2026-08-30,36,57.56,95.94,16.52,914,34,Female,Middle East,Adventure,Easy,31.98,2,20,51,48,High
P0000066,2024-02-08,2026-08-25,460,199.33,26.0,105.79,5119,35,Prefer not to say,North America,Action,Medium,1.73,8,4,62,51,Low
P0000067,2024-11-16,2026-09-03,1073,1587.86,88.79,236.52,7572,25,Male,Africa,Puzzle,Easy,20.72,40,14,72,21,Medium
P0000068,2024-01-17,2026-09-10,613,433.8,42.46,36.11,12912,24,Female,Asia,Simulation,Hard,3.54,10,5,67,29,Low
P0000069,2026-07-05,2026-08-27,94,167.04,106.62,18.62,2562,36,Female,Asia,RPG,Medium,19.55,4,11,57,20,Medium
P0000070,2025-11-28,2026-08-28,584,961.07,98.74,116.36,7047,26,Female,Africa,RPG,Easy,23.04,19,14,74,20,Medium
P0000071,2025-07-09,2026-09-07,846,1472.04,104.4,82.73,9388,17,Female,Asia,Strategy,Hard,29.58,33,17,77,49,Medium
P0000072,2024-04-18,2026-08-26,2023,2964.03,87.91,296.44,34494,18,Female,Asia,Action,Easy,27.84,72,19,89,31,High
P0000073,2024-08-25,2026-08-29,1350,1735.65,77.14,119.68,23059,20,Female,North America,Adventure,Hard,19.28,45,15,79,64,Medium
P0000074,2025-09-02,2026-09-09,294,307.08,62.67,6.84,2382,32,Male,North America,Adventure,Easy,6.27,3,6,64,27,Low
P0000075,2025-12-09,2026-09-03,301,270.15,53.85,63.82,5776,29,Female,Africa,Action,Medium,8.08,9,9,56,48,Low
P0000076,2025-05-01,2026-09-07,910,979.01,64.55,725.38,11916,34,Male,North America,Action,Hard,12.91,30,12,79,56,Medium
P0000077,2026-03-01,2026-08-27,526,1021.58,116.53,251.61,6372,24,Male,North America,Strategy,Medium,34.96,22,18,85,38,High
P0000078,2023-12-23,2026-07-27,2180,3085.06,84.91,887.13,28473,29,Female,Europe,Simulation,Easy,19.81,77,14,90,56,High
P0000079,2024-03-11,2026-09-01,1793,1953.77,65.38,304.89,46705,34,Female,Asia,RPG,Hard,15.26,57,14,88,30,Medium
P0000080,2024-07-09,2026-09-05,577,686.34,71.37,88.13,14489,25,Prefer not to say,Europe,Sports,Medium,7.14,9,6,72,55,Low
P0000081,2025-03-27,2026-09-07,1055,1525.53,86.76,332.34,28592,32,Female,Africa,Action,Hard,24.58,45,17,89,62,High
P0000082,2024-10-03,2026-09-10,1842,3004.3,97.86,253.98,36987,22,Female,Europe,Puzzle,Medium,30.99,81,19,86,66,High
